state,bill_number,bill_id,session_year,party,is_bipartisan,status,status_full,Author,Additional Authors,Topics,Summary,bill_url
AL,HJR 51,ALHJR51,2026,Republican,True,Enacted,Enacted - HOUSE,Robbins (R),Lawrence (D);Chestnut (D);Moore (R);Shaver (R);Stadthagen (R);DuBose (R);Fidler (R);Sellers (D);Ross (R),"Health Use, Private Sector Use, Studies",Establishes the Study Commission on Artificial Intelligence and Children's Internet Safety.,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000HJR51&ciq=urn:user:PA196471263&client_md=8697ac3325008bb8602103ca6470d4db&mode=current_text
AL,S 63,ALS63,2026,Republican,False,Pending,Pending - HOUSE,Orr (R),,"Health Use, Notification, Oversight/Governance, Private Sector Use","Relates to health care plans, regulates the use of artificial intelligence in determinations of coverage.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S63&ciq=urn:user:PA196471263&client_md=a1086e25b21d863850a0940f133fef07&mode=current_text
AL,S 129,ALS129,2026,Republican,False,Pending,Pending - SENATE,Melson (R),,"Deepfake, Notification","Relates to artificial intelligence, relates to disclosure of artificial intelligence-generated content required, enforcement provided.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S129&ciq=urn:user:PA196471263&client_md=3299d33aad8793453df36b809175613f&mode=current_text
AL,S 141,ALS141,2026,Republican,False,Pending,Pending - Senate Finance and Taxation Education Committee,Orr (R),,"Appropriations, Education Use",Relates to Regular Session Education Trust Fund.,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S141&ciq=urn:user:PA196471263&client_md=4c97a28df8cfb151afebf02d5b0f3201&mode=current_text
AL,H 238,ALH238,2026,Republican,False,Pending,Pending - Concurrence,Garrett (R),,"Appropriations, Education Use","Relates to Appropriations from Education Trust Fund for the support, maintenance, and development of public education for fiscal year ending on a specified date.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H238&ciq=urn:user:PA196471263&client_md=1b28ead314ed96d52b7c5176f7bb3bf7&mode=current_text
AL,S 265,ALS265,2026,Republican,True,Pending,Pending - HOUSE,Jones (R),Allen Ge (R);Figures (D);Smitherman (D);Butler (D);Waggoner (R);Albritton (R);Williams J (R);Singleton (D);Coleman-Madison (D);Chesteen (R);Gudger (R);Melson (R);Kitchens (R);Bell (R);Kelley (R);Stewart (D),,"Relates to tax abatements for data processing centers, exemption period limited, collection of certain taxes on purchases required.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S265&ciq=urn:user:PA196471263&client_md=5e9138af24dde7a4ad4e67540990e536&mode=current_text
AL,S 270,ALS270,2026,Republican,False,Pending,Pending - HOUSE,Bell (R),,,"Relates to Electric Utilities, relates to review by Public Service Commission of certain contracts with large load data centers further provided for.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S270&ciq=urn:user:PA196471263&client_md=b62990bc727a0f21a81a98dd8cbacf2a&mode=current_text
AL,H 280,ALH280,2026,Republican,False,Pending,Pending - House Ways and Means General Fund Committee,Bolton (R),,"Health Use, Oversight/Governance, Private Sector Use","Relates to Rural health care, states health command established to designate an artificial intelligence assisted health platform in rural communities.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H280&ciq=urn:user:PA196471263&client_md=29af9ab7704b1838a21500015c409450&mode=current_text
AL,H 291,ALH291,2026,Democrat,False,Pending,Pending - House Judiciary Committee,Givan (D),,Deepfake,"Relates to crimes and offenses, relates to crime of distribution of materially deceptive media established, permanent injunctive relief authorized.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H291&ciq=urn:user:PA196471263&client_md=54ef5fd7a2ea137adaecb619505fc0cf&mode=current_text
AL,S 292,ALS292,2026,Republican,False,Pending,Pending - HOUSE,Orr (R),,"Deepfake, Housing","Relates to real property, creation of the Alabama Property Protection Act of 2026, title fraud prevention.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S292&ciq=urn:user:PA196471263&client_md=0536fb97212e2721e3a7049b89aebb13&mode=current_text
AL,H 324,ALH324,2026,Republican,True,Pending,Pending - House Judiciary Committee,Moore (R),Chestnut (D);Gray J (D);Bedsole (R);Robbins (R);Hassell (D);DuBose (R);Shaw (R),"Health Use, Private Sector Use","Relates to artificial intelligence, relates to age verification systems required for chatbots, safeguard protocols required, therapy chatbot requirements established, private right of action and enforcement provided for.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H324&ciq=urn:user:PA196471263&client_md=5c8cb406b03762d16a8b0f004872642b&mode=current_text
AL,H 325,ALH325,2026,Republican,True,Pending,Pending - House Judiciary Committee,Moore (R),Chestnut (D);Gray J (D);Bedsole (R);Robbins (R);Hassell (D);DuBose (R);Shaw (R),"Notification, Private Sector Use, Private Right of Action","Relates to AI chatbots, relates to unfair or deceptive trade practice for failing to notify consumer about AI chatbot, relates to private right of action and enforcement provided for.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H325&ciq=urn:user:PA196471263&client_md=b4b0178b8e267355675bd244dc53ff05&mode=current_text
AL,H 327,ALH327,2026,Republican,False,Pending,Pending - HOUSE,Robbins (R),,"Deepfake, Private Sector Use","Relates to consumer protection, relates to production of digital replicas of voice or visual likenesses, prohibited for commercial use unless licensed, procedures established, private right of action authorized.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000H327&ciq=urn:user:PA196471263&client_md=d8d9e824a24a10295a6d20ae044f2a3f&mode=current_text
AL,S 328,ALS328,2026,Republican,False,Pending,Pending - Senate Fiscal Responsibility and Economic Development Committee,Elliott (R),,Government Use,"Relates to Artificial Intelligence, state agencies required to perform quarterly AI-assisted review of rules.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2026000S328&ciq=urn:user:PA196471263&client_md=fc119e7feb48979581f5ebad8b9d4100&mode=current_text
